"species","lon","lat"
"Amazilia rutila",-106.466667,23.556667
"Amazilia rutila",-105.538333,22.36
"Amazilia rutila",-104.833333,21.188333
"Amazilia rutila",-103.796667,19.036667
"Amazilia rutila",-105.363333,22.395
"Amazilia rutila",-105.48,22.683333
"Amazilia rutila",-104.65,19.456667
"Amazilia rutila",-87.183333,21.216667
"Amazilia rutila",-89.644437,14.553436
"Amazilia rutila",-105.052691,21.883154
"Amazilia rutila",-86.488144,13.564109
"Amazilia rutila",-105.709,22.5499
"Amazilia rutila",-93.2867,15.9047
"Amazilia rutila",-90.4022,20.8237
"Amazilia rutila",-95.7825,15.9249
"Amazilia rutila",-89.7551,20.6665
"Amazilia rutila",-88.7476,14.0886
"Amazilia rutila",-84.9153,10.3591
"Amazilia rutila",-86.2866,12.7689
"Amazilia rutila",-88.2997,15.37
"Amazilia rutila",-87.4525,15.1988
"Amazilia rutila",-90.421,20.6463
"Amazilia rutila",-87.6983,14.5433
"Amazilia rutila",-93.5883,15.8056
"Amazilia rutila",-90.2351,14.3487
"Amazilia rutila",-92.8357,15.1705
"Amazilia rutila",-87.7512,13.6071
"Amazilia rutila",-86.6026,13.4372
"Amazilia rutila",-89.4309,14.4111
"Amazilia rutila",-88.6345,21.3687
"Amazilia rutila",-87.9973,15.3979
"Amazilia rutila",-89.84,14.3611
"Amazilia rutila",-91.1961,13.9938
"Amazilia rutila",-86.1833,14.8829
"Amazilia rutila",-85.467,12.5581
"Amazilia rutila",-87.4104,13.1289
"Amazilia rutila",-98.4125,16.4732
"Amazilia rutila",-86.8133,12.9644
"Amazilia rutila",-87.489,13.8206
"Amazilia rutila",-89.1782,21.2934
"Amazilia rutila",-87.4381,21.2751
"Amazilia rutila",-89.0897,21.1507
"Amazilia rutila",-87.7766,18.546
"Amazilia rutila",-88.9158,14.9427
"Amazilia rutila",-103.387,19.1462
"Amazilia rutila",-86.962,12.875
"Amazilia rutila",-90.5625,14.1374
"Amazilia rutila",-97.7287,16.1768
"Amazilia rutila",-87.5745,20.3514
"Amazilia rutila",-104.818,20.1806
"Amazilia rutila",-83.7786,13.2521
"Amazilia rutila",-84.0751,13.4801
"Amazilia rutila",-85.3592,12.0948
"Amazilia rutila",-86.4148,12.1575
"Amazilia rutila",-87.741,13.4344
"Amazilia rutila",-85.1912,12.2038
"Amazilia rutila",-87.1702,12.8473
"Amazilia rutila",-106.246,23.1413
"Amazilia rutila",-106.065,22.8815
"Amazilia rutila",-83.4025,14.0343
"Amazilia rutila",-105.39,20.0144
"Amazilia rutila",-86.9889,13.0999
"Amazilia rutila",-86.8308,14.0748
"Amazilia rutila",-88.0648,15.0563
"Amazilia rutila",-89.9556,20.9134
"Amazilia rutila",-92.1073,14.73
"Amazilia rutila",-87.0037,21.0867
"Amazilia rutila",-90.3049,20.5231
"Amazilia rutila",-84.0858,14.6992
"Amazilia rutila",-85.7595,11.1581
"Amazilia rutila",-104.592,19.7406
"Amazilia rutila",-86.8264,14.579
"Amazilia rutila",-90.9382,14.5725
"Amazilia rutila",-93.5928,16.1431
"Amazilia rutila",-104.332,19.2013
"Amazilia rutila",-105.129,20.9809
"Amazilia rutila",-86.5682,14.5541
"Amazilia rutila",-85.8811,12.1014
"Amazilia rutila",-83.5348,13.929
"Amazilia rutila",-93.8766,16.3364
"Amazilia rutila",-90.2343,13.807
"Amazilia rutila",-104.009,19.1463
"Amazilia rutila",-91.7318,14.2279
"Amazilia rutila",-85.5133,12.3771
"Amazilia rutila",-86.5506,13.8421
"Amazilia rutila",-99.7856,16.9868
